Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
Poland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Polish zloty Data last updated: 03/2021",748.340,673.506,640.865,676.754,674.277,700.315,724.788,741.469,765.829,795.023,738.013,686.311,700.263,730.286,768.545,820.251,871.427,933.180,979.668,1023.991, 1067.610, 1080.478, 1096.074, 1134.420, 1190.946, 1232.709, 1308.288, 1400.672, 1459.500, 1500.837, 1556.976, 1631.052, 1652.661, 1671.442, 1727.913, 1801.112, 1857.699, 1947.438, 2051.698, 2144.865, 2086.451, 2158.790, 2256.860, 2346.621, 2417.309, 2486.324, 2550.065,2020
Poland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.000,-10.000,-4.846,5.600,-0.366,3.862,3.494,2.302,3.285,3.812,-7.171,-7.005,2.033,4.287,5.239,6.728,6.239,7.086,4.982,4.524,4.260,1.205,1.443,3.498,4.983,3.507,6.131,7.062,4.200,2.832,3.741,4.758,1.325,1.136,3.379,4.236,3.142,4.831,5.354,4.541,-2.723,3.467,4.543,3.977,3.012,2.855,2.564,2020
Poland,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Polish zloty Data last updated: 03/2021",0.251,0.275,0.554,0.692,0.857,1.043,1.294,1.692,2.960,9.645,59.096,85.310,121.163,164.292,236.104,337.886,423.268,516.369,602.086,667.000,745.845,781.100,812.214,847.152,933.092,990.530,1069.43,1187.51,1285.57,1372.03,1446.84,1565.25,1623.44,1646.72,1711.24,1801.11,1863.49,1989.84,2121.56,2287.74,2317.09,2489.68,2668.34,2842.33,2999.27,3160.39,3338.80,2020
Poland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",56.731,53.752,65.315,75.555,75.656,70.915,73.822,63.840,68.747,67.027,62.206,80.610,88.888,90.544,103.887,139.363,156.993,157.493,172.389,168.130,171.613,190.805,199.070,217.829,255.292,306.304,344.627,429.021,533.600,439.794,479.834,528.292,498.517,521.013,542.602,477.488,472.256,526.643,587.433,595.772,594.180,642.121,697.432,752.831,805.910,861.827,924.198,2020
Poland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",171.757,169.207,170.954,187.598,193.656,207.496,219.070,229.655,245.565,264.921,255.128,245.279,255.969,273.268,293.725,320.059,346.254,377.185,400.432,424.592,452.574,468.074,482.343,508.488,548.196,585.093,639.759,703.336,747.130,774.148,812.463,868.897,903.837,934.553,968.368,1020.67,1075.28,1145.32,1235.61,1314.78,1294.48,1363.77,1457.99,1550.26,1630.39,1709.90,1786.65,2020
Poland,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",21040.45,18767.61,17695.41,18424.45,18199.51,18761.59,19297.83,19641.61,20267.58,21019.18,19326.92,17926.05,18242.82,18968.05,19920.35,21260.72,22570.34,24151.05,25340.63,26482.31,27901.68,28244.88,28661.39,29682.45,31184.25,32291.99,34286.91,36738.49,38291.37,39354.99,40948.42,42851.68,43418.20,43913.05,45450.03,47390.69,48929.03,51284.86,54025.19,56484.23,54967.16,56918.62,59563.66,62007.69,63968.10,65906.50,67728.88,2020
Poland,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",7.053,7.662,15.298,18.831,23.124,27.954,34.453,44.829,78.333,255.004,1547.60,2228.24,3156.46,4267.24,6119.71,8757.93,10962.83,13363.80,15573.88,17249.86,19492.43,20418.80,21238.68,22166.00,24432.49,25947.89,28027.10,31147.36,33728.17,35977.27,38051.93,41122.95,42650.57,43263.64,45011.59,47390.69,49081.48,52401.35,55864.67,60246.74,61043.28,65642.95,70423.48,75106.49,79368.15,83774.39,88677.41,2020
Poland,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Polish zloty Data last updated: 03/2021",n/a,n/a,n/a,n/a,27.386,28.773,23.662,23.958,27.366,24.082,25.243,19.381,14.750,15.134,17.246,18.450,20.579,23.094,24.701,24.895,24.494,20.463,18.409,18.805,20.230,19.888,21.678,25.196,24.649,20.560,21.506,22.653,21.253,19.253,20.656,20.595,19.698,19.911,20.765,19.750,17.312,17.017,17.704,18.338,18.635,18.821,18.800,2020
Poland,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Polish zloty Data last updated: 03/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.300,11.800,13.600,16.400,11.400,13.341,12.343,11.246,10.576,13.133,16.087,18.242,19.934,19.643,18.974,17.745,13.843,9.604,7.119,8.169,9.635,9.632,10.088,10.328,8.988,7.499,6.161,4.888,3.846,3.279,3.163,4.860,4.543,4.463,4.463,4.459,4.456,2020
Poland,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Polish zloty Data last updated: 03/2021,35.567,35.887,36.216,36.731,37.049,37.327,37.558,37.750,37.786,37.824,38.186,38.286,38.386,38.501,38.581,38.581,38.609,38.639,38.660,38.667,38.263,38.254,38.242,38.219,38.191,38.174,38.157,38.125,38.116,38.136,38.023,38.063,38.064,38.063,38.018,38.006,37.967,37.973,37.977,37.973,37.958,37.928,37.890,37.844,37.789,37.725,37.651,2020
,HDD,Number,units,Source: Eurostat,4169.29,3753.83,3545.68,3371.61,3723.89,4105.47,3874.13,4177.09,3572.6,3206.73,3192.33,3697.57,3518.67,3702.4,3458.68,3626.12,4151.88,3693.19,3563.27,3330.74,3104.32,3588.96,3344.88,3597.66,3515.39,3544.15,3462.59,3232.13,3174.47,3448.86,3923.03,3315.94,3551.16,3502.91,3094.64,3112.56,3286.01,3288.37,3123.43,2951.82,3006.1,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2021",CDD,Number,units,Source: Eurostat,0.04,0.97,3.94,4.03,4.01,4.2,6.01,4.01,6.35,13.13,0.94,5.64,32.31,2.1,45.3,6.77,1.57,7.07,14.11,6.96,9.46,11.62,20.34,8.74,2.71,11.27,32.87,18.73,3.86,5.72,48.11,6.8,29.53,28.53,22.12,63.67,16.9,19.77,29.74,48.99,11.18,,,,,,,
,ODEX,,,Source: ODYSSEE,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,100.8072,100,99.1928,94.5079,91.3099,88.7905,86.704,84.8075,83.219,81.7098,80.3687,79.0697,77.7281,76.329,74.9969,74.0336,73.4366,73.1042,72.7683,72.4524,72.2684,,,,,,,,
,ODEX,,,Source: ODYSSEE,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,100.0396,100,99.9604,98.0044,96.2573,95.1016,94.3203,93.7981,92.6138,91.0562,89.268,87.7826,86.2851,84.5635,82.7922,81.5884,81.257,81.7651,82.2984,82.6282,82.633,,,,,,,,
,Black coal avg. detalic price,pln/ton,,Source: bdl.stat.gov.pl,,,,,,,,,,,,,,,,,,,,223.05,260.26,297.47,334.68,371.89,409.1,446.31,483.52,520.73,565.33,706.26,714.2,764.73,820.58,820.84,820.54,799.79,791.17,793.55,895.4,897.25,,,,,,,,
,Brown coal industrial price,pln/kton,,Source: PAK,,,,,,,,,,,,,,,,,,,,33.05,37.97,42.16,47.25,46.8,47,48,49,50.2,52.91,62,72,70.87,73.62,73.62,69.03,69.03,70.44,70.44,72.75,76.4,76.4,76.4,,,,,,
,"Energy price, household customers",pln/kWh,,Source: Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5139,0.4488,0.5233,0.5438,0.5803,0.6164,0.612,0.5918,0.5984,0.5856,0.6164,0.5978,0.5842,0.6632,,,,,,,
,"Energy price, nonhousehold customers",pln/kWh,,Source: Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4111,0.384,0.4846,0.479,0.4946,0.4818,0.4666,0.4268,0.4482,0.4354,0.4524,0.4614,0.4838,0.5912,,,,,,,
,"Gross domestic product EU, current prices",U.S. dollars,Billions,Source: IMF,,2837.942,2750.709,2689.527,2588.018,2666.245,3657.972,4483.106,4948.888,5037.736,6210.754,6624.193,7315.835,6680.947,7082.510,8283.019,8417.635,7729.926,7966.376,7925.702,7270.297,7382.948,8067.021,9914.757,11397.822,11900.256,12698.332,14717.123,16287.217,14744.538,14564.317,15754.488,14639.989,15295.607,15652.372,13549.738,13887.316,14753.247,15972.093,15636.271,15167.815,17127.535,18283.894,19032.779,19757.615,20462.339,21183.949,
